Rank,Video Name,Worldwide,Domestic,Outside US
1,Barbie,"$1,441,820,453","$636,220,453","$805,600,000"
2,The Super Mario Bros. Movie,"$1,361,367,353","$574,934,330","$786,433,023"
3,Oppenheimer,"$952,021,870","$326,087,870","$625,934,000"
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815","$486,559,962"
5,Fast X,"$704,875,015","$146,126,015","$558,749,000"
6,Spider-Man: Across the Spider-Verse,"$690,516,673","$381,311,319","$309,205,354"
7,The Little Mermaid,"$569,626,289","$298,172,056","$271,454,233"
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383","$395,400,000"
9,Elemental,"$496,307,013","$154,426,697","$341,880,316"
10,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909","$261,566,271"
11,John Wick: Chapter 4,"$440,146,694","$187,131,806","$253,014,888"
12,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392","$281,900,000"
13,Meg 2: The Trench,"$395,000,317","$82,600,317","$312,400,000"
14,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468","$209,482,589"
15,The Hunger Games: The Ballad of Songbirds & Snakes,"$315,337,500","$153,337,500","$162,000,000"
16,Five Nights at Freddy's,"$290,501,123","$137,275,620","$153,225,503"
17,Creed III,"$275,248,615","$156,248,615","$119,000,000"
18,Wonka,"$272,053,000","$94,453,000","$177,600,000"
19,The Flash,"$270,633,313","$108,133,313","$162,500,000"
20,The Nun II,"$268,067,073","$86,267,073","$181,800,000"
