"videoname","viewcount"
"Barbie",79922625
"The Super Mario Bros. Movie",30401495
"Oppenheimer",113097125
"Guardians of the Galaxy Vol.3",53060721
"Fast X",85735892
"Spider-Man: Across the Spider-Verse",87438940
"The Little Mermaid",26057586
"Mission: Impossible - Dead Reckoning Part One",34839569
"Elemental",46568237
"Ant-Man and the Wasp: Quantumania",59840782
"John Wick: Chapter 4",80734205
"Transformers: Rise of the Beasts",44315621
"Meg 2: The Trench",46942856
"Indiana Jones and the Dial of Destiny",16408874
"The Hunger Games: The Ballad of Songbirds & Snakes",52480356
"Five Nights at Freddys",64226929
"Creed III",37679312
"The Flash",53147143
"The Nun II",41725608
"Wonka",12626941
